Year,EU (Current),EU (Real),Non-EU (Current),Non-EU (Real),RUK (Current),RUK (Real),Total (Real)
2008,11,11,11.6,11.6,37.5,37.5,60.1
2009,10.5,10.6,11.2,11.2,37.4,37.8,59.6
2010,11,11,13,12.5,40.2,40,63.5
2011,14.8,13.5,15.1,14.2,41.1,39.5,67.2
2012,12,11,15.3,14.4,42.3,40.2,65.6
2013,13.3,11.8,15.8,14.9,43.1,40.4,67.1
2014,13.6,12.6,16.5,15.8,43.9,41.4,69.8
2015,13.1,12.5,16.5,15.8,44.9,42.9,71.2
2016,14.5,13.7,16,14.6,44.2,41.3,69.6
2017,15.9,14.4,16.3,14.8,45.9,41.6,70.8
2018,15.5,13.4,16.8,14.8,47.6,41.8,70
2019,15.6,13.2,17.7,15.2,48.8,42.1,70.5
2020,13.7,12.1,14.1,11.8,45.4,39,62.9
2021,14.1,11.6,15.8,12.9,47.1,38.8,63.3
2022,17.9,12.6,20.1,15.6,53.8,41.4,69.6
2023,17.1,12.1,20.6,15.3,55.4,37.6,65